X.,Region,variable
c2ed860a993aca847d78c571cc28ac37,Netherlands,Bacteria
a61abb54db9cb13ae849742fe76325c2,Americas ,Bacteria
a61abb54db9cb13ae849742fe76325c2,Caribbean ,Bacteria
81d9e848bc22a687980ef8886fdc85db,Kenya,Bacteria
8e8de05ccd83aef0d074c26c61cb226a,Europe,Bacteria
ea2f5cad9ebe44e8da4ac5e290273877,"Cross River State, Nigeria",Bacteria
1006ac37848a663e0d9e7fe8dccf89d8,Svalbard,Bacteria
1006ac37848a663e0d9e7fe8dccf89d8,Czech Republic,Bacteria
1006ac37848a663e0d9e7fe8dccf89d8,Siberia,Bacteria
ad36c030644c273b571d7270728da7c1,France,Bacteria
3f08150917fe38316d529566b664cf07,"Cape Town, South Africa",Bacteria
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Bacteria
14cf51570e98757043a38348ef8aad1e,UK,Bacteria
2b8784b100c26a03c5b7dda85743d1ce,UK,Bacteria
2b8784b100c26a03c5b7dda85743d1ce,Svalbard,Bacteria
2b8784b100c26a03c5b7dda85743d1ce,South Afrcia,Bacteria
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Bacteria
84be02c4d7a046b5744726d2c5fd953c,Georgia,Bacteria
d5a1abaf6e451fe27f24ada5183c2363,Texas,Bacteria
d5a1abaf6e451fe27f24ada5183c2363,Iowa,Bacteria
82805aeb847a2e86a971f64998c003c2,New York City,Bacteria
09221bac01983c58b495131e1446e7f2,Gelderland,Bacteria
a43df7c1df33074b66dd40c7c3518633,Miami-Dade County,Bacteria
9d24a6a7b85ea4cd4ee1df5588a776a7,"Tasmania, Austrslia",Bacteria
0a3693ba9ff028c051b4cdb3490c4f17,India,Bacteria
1b873b12ba50945684650a968864232b,SE Asia,Bacteria
1b873b12ba50945684650a968864232b,East Africa,Bacteria
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh,India",Bacteria
6add69f17cbad9c9e0092f9e4088fc08,Switzerland,Bacteria
2ac54087b7a0f6e445593cf557074c58,Switzerland,Bacteria
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Indonesia,Bacteria
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Japan,Bacteria
d631462afd91b26f9ec66e68c4edaa4a,UK,Bacteria
9a0559835205c7ea136f7c1d1b13e9a0,Northern Alaska,Bacteria
d149d82103f5e893542e2cb2cc566100,China,Bacteria
d94782d9e4fe8014fc7e2a807bb13115,UK,Bacteria
41855e9778751aee96176e221c94e9e1,Jersey Channel Islands,Bacteria
4a276158e3dd37f7b5eea3be8d919279,USA,Bacteria
48765e13203a91e03e6d7921c202d1f2,California,Bacteria
a8ce21c25bc7a9051aed0b67771b2c53,USA,Bacteria
d28925cad220e07d0dda3b4dba4a72ff,Eastern California-Great Basin,Bacteria
ca59392b464516a3f58c05d578d1a01c,"Andalucia, Spain",Bacteria
a1875de0cbf530c95e0fa44d3e02e07d,Spain,Bacteria
aec93274400f4e6e7d8197e9cd5e598b,"Malaysia, Indonesia",Bacteria
51f1aacd02d2b56873723146145bd6b7,High alpine Subarctic Sweden ,Bacteria
0cd7e00ad5a4cc82d3e477bd33ab79d8,USA,Bacteria
536d03ba60ba3ec50b5f677aff898d15,Puerto Rico,Bacteria
f37a2a25345b0048507e4c526c1976ff,UK,Bacteria
c2ed860a993aca847d78c571cc28ac37,Netherlands,Fungi
8e8de05ccd83aef0d074c26c61cb226a,Europe,Fungi
1006ac37848a663e0d9e7fe8dccf89d8,Svalbard,Fungi
1006ac37848a663e0d9e7fe8dccf89d8,Czech Republic,Fungi
1006ac37848a663e0d9e7fe8dccf89d8,Siberia,Fungi
4927da8c9d425709a91f81d8f8463ab8,South Africa,Fungi
ad36c030644c273b571d7270728da7c1,France,Fungi
7aa03d94e6f7ca580db6e8b364bc946c,New Zealand,Fungi
f83ae4d9be7a67306c68f2590297edcb,"Champagne, France",Fungi
3f08150917fe38316d529566b664cf07,"Cape Town, South Africa",Fungi
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Fungi
14cf51570e98757043a38348ef8aad1e,UK,Fungi
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Fungi
3818440850a60d15cae3051f5b294ffd,Global,Fungi
6916ba6adf20a5e437b8ca96b8eb38ff,Global,Fungi
84be02c4d7a046b5744726d2c5fd953c,Georgia,Fungi
d5a1abaf6e451fe27f24ada5183c2363,Texas,Fungi
d5a1abaf6e451fe27f24ada5183c2363,Iowa,Fungi
ca98c19f62f76c03a421e3653c9e730a,"Michigan, USA",Fungi
4106f19ddaec78e25501046ce019039c,Switzerland,Fungi
82805aeb847a2e86a971f64998c003c2,New York City,Fungi
d2f8d2876e906428adeec140e5df40d9,Netherlands,Fungi
eac950eb85885925c9b03c497d03b32d,USA,Fungi
eac950eb85885925c9b03c497d03b32d,Costa Rica,Fungi
eac950eb85885925c9b03c497d03b32d,Mexico,Fungi
09221bac01983c58b495131e1446e7f2,Gelderland,Fungi
a43df7c1df33074b66dd40c7c3518633,Miami-Dade County,Fungi
3e7eebbb996aebb069263ee6c5a85523,Finland,Fungi
3e7eebbb996aebb069263ee6c5a85523,Russia,Fungi
8d9bc6929fdd38d0f946ca0102b2fcec,"Uttar Pradesh, India",Fungi
0a3693ba9ff028c051b4cdb3490c4f17,India,Fungi
1b873b12ba50945684650a968864232b,SE Asia,Fungi
1b873b12ba50945684650a968864232b,East Africa,Fungi
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh, India",Fungi
6add69f17cbad9c9e0092f9e4088fc08,Switzerland,Fungi
aae4627db1c98954c73b3a0c7b3e2e09,Scotland,Fungi
00c44f68fa86be89102f02184b464fda,Wales,Fungi
2ac54087b7a0f6e445593cf557074c58,Switzerland,Fungi
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Fungi
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Indonesia,Fungi
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Japan ,Fungi
d631462afd91b26f9ec66e68c4edaa4a,UK,Fungi
9a0559835205c7ea136f7c1d1b13e9a0,Northern Alaska,Fungi
d149d82103f5e893542e2cb2cc566100,China,Fungi
d94782d9e4fe8014fc7e2a807bb13115,UK,Fungi
41855e9778751aee96176e221c94e9e1,Jersey Channel Islands,Fungi
4a276158e3dd37f7b5eea3be8d919279,USA,Fungi
a8ce21c25bc7a9051aed0b67771b2c53,USA,Fungi
d28925cad220e07d0dda3b4dba4a72ff,Eastern California-Great Basin,Fungi
1508fa5a3cac20c0a8e1e45ca3ae6e69,"Alabama, United States",Fungi
ca59392b464516a3f58c05d578d1a01c,"Andalucia, Spain",Fungi
532c5715d54a5e7a1f9b929e32012873,Sweden,Fungi
a1875de0cbf530c95e0fa44d3e02e07d,Spain,Fungi
aec93274400f4e6e7d8197e9cd5e598b,"Malaysia, Indonesia",Fungi
51f1aacd02d2b56873723146145bd6b7,High alpine Subarctic Sweden ,Fungi
0cd7e00ad5a4cc82d3e477bd33ab79d8,USA,Fungi
536d03ba60ba3ec50b5f677aff898d15,Puerto Rico,Fungi
d97c5c48404e9e28ebca83935190953c,Central NY state,Fungi
f37a2a25345b0048507e4c526c1976ff,UK,Fungi
8e8de05ccd83aef0d074c26c61cb226a,Europe,Archaea
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Archaea
2b8784b100c26a03c5b7dda85743d1ce,UK,Archaea
2b8784b100c26a03c5b7dda85743d1ce,Svalbard,Archaea
2b8784b100c26a03c5b7dda85743d1ce,South Afrcia,Archaea
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Archaea
a43df7c1df33074b66dd40c7c3518633,Miami-Dade County,Archaea
6add69f17cbad9c9e0092f9e4088fc08,Switzerland,Archaea
d94782d9e4fe8014fc7e2a807bb13115,UK,Archaea
48765e13203a91e03e6d7921c202d1f2,California,Archaea
a8ce21c25bc7a9051aed0b67771b2c53,USA,Archaea
d28925cad220e07d0dda3b4dba4a72ff,Eastern California-Great Basin,Archaea
f83ae4d9be7a67306c68f2590297edcb,"Champagne, France",Protists
3818440850a60d15cae3051f5b294ffd,Global,Protists
cabf490f3096d8784e0d06b99f6ac047,Germany,Protists
cabf490f3096d8784e0d06b99f6ac047,Global,Protists
cabf490f3096d8784e0d06b99f6ac047,Brazil,Protists
1df3ffcf453fa7559d89df0b925069ac,Global,Protists
09221bac01983c58b495131e1446e7f2,Gelderland,Protists
a43df7c1df33074b66dd40c7c3518633,Miami-Dade County,Protists
90115664c1d30b77233027b61feebb7a,Russia,Protists
d94782d9e4fe8014fc7e2a807bb13115,UK,Protists
41855e9778751aee96176e221c94e9e1,Jersey Channel Islands,Protists
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Rotifera
774d7b4680160c9a543fafd684a1db9f,Antarctica,Rotifera
774d7b4680160c9a543fafd684a1db9f,North America,Rotifera
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Rotifera
4919fb869b6faf22c12e568677dd0e32,Europe,Rotifera
c2ed860a993aca847d78c571cc28ac37,Netherlands,Nematoda
52e364d0b3501dfff9b42e3ffd3d0d1f,Northern China,Nematoda
a61abb54db9cb13ae849742fe76325c2,Caribbean ,Nematoda
a61abb54db9cb13ae849742fe76325c2,Americas,Nematoda
f83ae4d9be7a67306c68f2590297edcb,"Champagne, France",Nematoda
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Nematoda
6de126eed9fa80bfdb579f5ad2aa8fda,Algeria,Nematoda
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Nematoda
3818440850a60d15cae3051f5b294ffd,Global,Nematoda
84be02c4d7a046b5744726d2c5fd953c,Georgia,Nematoda
77dccae2d83243d198636d1d202d8ee1,USA,Nematoda
d5a1abaf6e451fe27f24ada5183c2363,Texas,Nematoda
d5a1abaf6e451fe27f24ada5183c2363,Iowa,Nematoda
ca98c19f62f76c03a421e3653c9e730a,"Michigan, USA",Nematoda
09221bac01983c58b495131e1446e7f2,Gelderland,Nematoda
1b873b12ba50945684650a968864232b,SE Asia,Nematoda
1b873b12ba50945684650a968864232b,East Africa,Nematoda
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh,India",Nematoda
774d7b4680160c9a543fafd684a1db9f,North America,Nematoda
774d7b4680160c9a543fafd684a1db9f,Antarctica,Nematoda
2ac54087b7a0f6e445593cf557074c58,Switzerland,Nematoda
02d37fee2385d5cbf00373d0a35fde2d,UK,Nematoda
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Nematoda
18ab5ecaf8078a18d796df46a877ac06,Global,Nematoda
c52dbd001c4c5e67caf646ed18f9a838,Ireland ,Nematoda
bdbeadd1fb4eb419ed841d69a224ae14,Germany,Nematoda
d631462afd91b26f9ec66e68c4edaa4a,UK,Nematoda
ccf55cc9478d2e506326a0bab42abed7,Greece,Nematoda
d149d82103f5e893542e2cb2cc566100,China,Nematoda
f620abd3f5069135c582bcad96c4a9b3,Global,Nematoda
772602a80c24f8044dacbb7ba49aec6f,North Carolina,Nematoda
4919fb869b6faf22c12e568677dd0e32,Europe,Nematoda
d94782d9e4fe8014fc7e2a807bb13115,UK,Nematoda
41855e9778751aee96176e221c94e9e1,Jersey Channel Islands,Nematoda
ef398835a0b8961d09597f4ac9f86c55,Eastern Canada,Nematoda
efd43546e63e2a3f02ba613763f3052c,France,Nematoda
c9dfbd469eddcc78797979698aaaf393,Southern Spain,Nematoda
ca59392b464516a3f58c05d578d1a01c,"Andalucia, Spain",Nematoda
1571ba92201121d2c534d477167d466d,Germany,Nematoda
91f717704a1583c59a7a9f1bfcb482da,France,Mollusca
6de126eed9fa80bfdb579f5ad2aa8fda,Algeria,Mollusca
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Mollusca
3818440850a60d15cae3051f5b294ffd,Global,Mollusca
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh,India",Mollusca
9076cb00f2c1c60c1ec4b3fd9a9fccc6,Hungary,Mollusca
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Mollusca
18ab5ecaf8078a18d796df46a877ac06,Global,Mollusca
704a164ca0aeaf5913556bf97472e411,USA,Mollusca
ccf55cc9478d2e506326a0bab42abed7,Greece,Mollusca
4919fb869b6faf22c12e568677dd0e32,Europe,Mollusca
d2ef5dccb99c5dad5cc05500edde51ea,Global,Mollusca
5b74c9f91a6dfdc491dfab4af43fb9ca,Spain,Mollusca
4cc3477fb614d1c8954c13615373c262,Brazil,Mollusca
be528a1adab908da2632e56bd864a16e,Croatia,Annelida
615edbee8aaaf194a5cc3a832cb721c4,France,Annelida
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Annelida
91f717704a1583c59a7a9f1bfcb482da,France,Annelida
6de126eed9fa80bfdb579f5ad2aa8fda,Algeria,Annelida
35680200d2d4ac0926e40f13a89857e9,Europe,Annelida
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Annelida
3818440850a60d15cae3051f5b294ffd,Global,Annelida
09221bac01983c58b495131e1446e7f2,Gelderland,Annelida
c9d9bd8085ef8f725be859ff4a88fbb0,Global,Annelida
19a8c77a6673ed63ea3e220a1365a03f,"Quebec, Canada",Annelida
1b8b8cd0c5f1bc964317f87fba95b1d5,India,Annelida
5efedac6fc44c5f0e82651ab942ef3f7,Austria,Annelida
5efedac6fc44c5f0e82651ab942ef3f7,Italy,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,Bolivia,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,California,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,Colombia,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,Colorado,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,Ecuador,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,El Salvador,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,Nicaragua,Annelida
7c0171540e5cfe09e3a96aa5b8a027e4,Peru,Annelida
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh,India",Annelida
63151ca56ed9c4e84fdae12463fc7093,France,Annelida
63151ca56ed9c4e84fdae12463fc7093,Italy,Annelida
63151ca56ed9c4e84fdae12463fc7093,Spain,Annelida
63151ca56ed9c4e84fdae12463fc7093,Austria,Annelida
63151ca56ed9c4e84fdae12463fc7093,Romania,Annelida
9cc827cddeb1ecf01ea179fbf3051a95,Germany,Annelida
be94b6df4b8d0553f4a76b64bb8f2d63,Northern Italy,Annelida
be94b6df4b8d0553f4a76b64bb8f2d63,Austria,Annelida
e1305bc17c6437b59c5bf31db87db310,"Komi Republic, Russia",Annelida
0b0ef923c9de000992d9aac4b5f4e3c5,France,Annelida
02d37fee2385d5cbf00373d0a35fde2d,Scotland,Annelida
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Annelida
886de00b80d133644166fb1e552f60b6,Finland,Annelida
750db208182e048637127a8492ba8def,Russia,Annelida
2713cd5a8e892d14dacf77c731cbbbaf,North Caucasus,Annelida
bdbeadd1fb4eb419ed841d69a224ae14,Germany,Annelida
ccf55cc9478d2e506326a0bab42abed7,Greece,Annelida
3e444d7e681368ef0134e5b9be19ab13,Brazil,Annelida
04b4cd62ddf7e95855aced571bf84e1d,Pacific Northwest,Annelida
4919fb869b6faf22c12e568677dd0e32,Europe,Annelida
d94782d9e4fe8014fc7e2a807bb13115,UK,Annelida
916988401ad865f1d407f153fd3ce474,Ohio,Annelida
09e2018ccb1afa65fc00b6f6c22f9068,Yorkshire,Annelida
2359e8d5f9d46b3628b154dd42cb2252,Kansas,Annelida
f98eafcde7ac94afce18f6a53c6466ca,Central Spanish Pyrenees,Annelida
caba55d9c65f810f744117331447b58d,Canada,Annelida
d97c5c48404e9e28ebca83935190953c,Central NY state,Annelida
5b74c9f91a6dfdc491dfab4af43fb9ca,Spain,Annelida
22394dff12b455b936012bf4d28c0559,"Granada, Spain",Annelida
bb3f15067cad745105377f3688f270be,Avignon,Annelida
49ce5b9c30b903c4bbf612b5db690b8e,Madagascar,Annelida
40641b6269f48795ea8c32db982290e5,"Republic of Komi, Russia",Annelida
028dbba4111983608fb0370e3cf77ad4,Denmark,Annelida
4cc3477fb614d1c8954c13615373c262,Brazil,Annelida
9037b48345a9556edb6639ba767f1817,North Eastern India,Annelida
298ac9770cddc6c1d687dff20fda27ab,Iran,Annelida
f37a2a25345b0048507e4c526c1976ff,UK,Annelida
c3ab0d68ba2ad49943a942af3c7708e2,USA,Annelida
0a2f40b8a071206af0cc1a3b01306755,Texas,Annelida
a3d8d68ab5a14edbc3632a9b8c388f02,Global,Annelida
fe98ae33176c28bf24e0e9a94e3411ba,Europe,Annelida
fe98ae33176c28bf24e0e9a94e3411ba,South America,Annelida
fe98ae33176c28bf24e0e9a94e3411ba,South east Asia,Annelida
c5a7dab51abab71ec4d463226793c42b,South China,Annelida
6427b7b9af0f591a7db22ed931f42203,Australia,Annelida
8e3a697f5e2d716bc9ffe5d8493496af,Netherlands,Annelida
b97da8a08931a4d0b73257056e77af96,Poland,Annelida
835ac0c26c4b90cb1ed9faaec2207caa,France,Annelida
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Tardigrada
774d7b4680160c9a543fafd684a1db9f,North America,Tardigrada
774d7b4680160c9a543fafd684a1db9f,Antarctica,Tardigrada
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Tardigrada
fd46284932963cd94f7144940cdd1ac2,Global,Tardigrada
4919fb869b6faf22c12e568677dd0e32,Europe,Tardigrada
d94782d9e4fe8014fc7e2a807bb13115,UK,Tardigrada
41855e9778751aee96176e221c94e9e1,Jersey Channel Islands,Tardigrada
1571ba92201121d2c534d477167d466d,Germany,Tardigrada
b022762f67f1ccbab8be979574cc5514,Canada,Arthropoda
b022762f67f1ccbab8be979574cc5514,USA,Arthropoda
b022762f67f1ccbab8be979574cc5514,Costa Rica,Arthropoda
b022762f67f1ccbab8be979574cc5514,Australasia,Arthropoda
3a25f70aeac2f1d1d3e28769d28b21cb,South Korea,Arthropoda
a61abb54db9cb13ae849742fe76325c2,Americas,Arthropoda
a61abb54db9cb13ae849742fe76325c2,Caribbean ,Arthropoda
73c7181d91a9a12224ff385cd841324e,Scandinavia,Arthropoda
73c7181d91a9a12224ff385cd841324e,Australia,Arthropoda
73c7181d91a9a12224ff385cd841324e,New Zealand,Arthropoda
73c7181d91a9a12224ff385cd841324e,Antarctica,Arthropoda
2148ee92819aa97a00e27076bb1f5c7d,"Komi Republic, Russia",Arthropoda
3214d8389c5883a52b457540feb1f042,"Georgia, Caucasus",Arthropoda
bb0128c32a03710360a37cf29a29231b,Netherlands,Arthropoda
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Arthropoda
91f717704a1583c59a7a9f1bfcb482da,France,Arthropoda
6de126eed9fa80bfdb579f5ad2aa8fda,Algeria,Arthropoda
7d887c9bc1af724f1ec91b2c23ed43e1,Spain,Arthropoda
7d887c9bc1af724f1ec91b2c23ed43e1,"Colorado, USA",Arthropoda
7d887c9bc1af724f1ec91b2c23ed43e1,Nicaragua,Arthropoda
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Arthropoda
3818440850a60d15cae3051f5b294ffd,Global,Arthropoda
232c5284b74ae5356fafefa17e128af8,Ecuador,Arthropoda
beb61e78fcf855dd3e087bca21567af5,Canada,Arthropoda
beb61e78fcf855dd3e087bca21567af5,Alaska,Arthropoda
beb61e78fcf855dd3e087bca21567af5,USA,Arthropoda
beb61e78fcf855dd3e087bca21567af5,Costa Rica,Arthropoda
77dccae2d83243d198636d1d202d8ee1,USA,Arthropoda
09221bac01983c58b495131e1446e7f2,Gelderland,Arthropoda
3e7eebbb996aebb069263ee6c5a85523,"Russia, Finland",Arthropoda
100ee56d9685f983f19fb4bca057244f,"Australia, Solomon Islands",Arthropoda
5efedac6fc44c5f0e82651ab942ef3f7,Austria,Arthropoda
5efedac6fc44c5f0e82651ab942ef3f7,Italy,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,Bolivia,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,California,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,Colombia,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,Colorado,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,Ecuador,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,El Salvador,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,Nicaragua,Arthropoda
7c0171540e5cfe09e3a96aa5b8a027e4,Peru,Arthropoda
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh,India",Arthropoda
aae4627db1c98954c73b3a0c7b3e2e09,Scotland,Arthropoda
be94b6df4b8d0553f4a76b64bb8f2d63,Vinschgau (Northern Italy),Arthropoda
be94b6df4b8d0553f4a76b64bb8f2d63,Austria,Arthropoda
788ad248e95d4fbcefa9618e318310b2,UK,Arthropoda
e1305bc17c6437b59c5bf31db87db310,"Komi Republic, Russia",Arthropoda
9076cb00f2c1c60c1ec4b3fd9a9fccc6,Hungary,Arthropoda
0b0ef923c9de000992d9aac4b5f4e3c5,France,Arthropoda
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Arthropoda
18ab5ecaf8078a18d796df46a877ac06,Global,Arthropoda
704a164ca0aeaf5913556bf97472e411,USA,Arthropoda
bdbeadd1fb4eb419ed841d69a224ae14,Germany,Arthropoda
d631462afd91b26f9ec66e68c4edaa4a,UK,Arthropoda
31b746d4c6d919992a21633c4d99db50,Eastern United States,Arthropoda
5ff9a4b60b58c3c5842903e49961349c,Costa Rica,Arthropoda
5ff9a4b60b58c3c5842903e49961349c,Mexico,Arthropoda
5ff9a4b60b58c3c5842903e49961349c,Guatemala,Arthropoda
5ff9a4b60b58c3c5842903e49961349c,Honduras,Arthropoda
5ff9a4b60b58c3c5842903e49961349c,Cuba,Arthropoda
5ff9a4b60b58c3c5842903e49961349c,Nicaragua,Arthropoda
ccf55cc9478d2e506326a0bab42abed7,Greece,Arthropoda
d6e7f43e6e2920ed29e878acc8d8916d,Israel,Arthropoda
fd46284932963cd94f7144940cdd1ac2,Global,Arthropoda
9a0559835205c7ea136f7c1d1b13e9a0,Northern Alaska,Arthropoda
948dab4bc99187b342c7ee1ff11beee8,Former Soviet Union ,Arthropoda
772602a80c24f8044dacbb7ba49aec6f,North Carolina,Arthropoda
25da1e18c1120b0b24960b34dc8a7fc8,Brazil,Arthropoda
4045bc474d3e1baa444002369a3ad579,Russia,Arthropoda
16aa9cfb6a15e9f350c3900c2192b0b4,Brazil,Arthropoda
c25e1fcbe560286980a0d48e8735f286,Iran,Arthropoda
